Date,PM2.5,PM10,NO2,NOx,CO,SO2,O3,temp,max_temp,min_temp,humid,visible
2017-12-02,1.72,53.35,35.74,23.42,0.62,2.98,4.61,19.8,21.6,18.2,88.0,4.8
2017-12-03,32.42,69.73,42.05,29.32,0.86,2.16,8.9,20.8,23.6,18.3,82.0,6.9
2017-12-04,18.72,71.86,42.47,30.26,0.86,2.58,24.47,21.2,25.0,18.4,79.0,5.5
2017-12-05,11.27,63.98,40.08,25.19,0.7,3.02,12.45,21.4,26.5,19.0,77.0,5.3
2017-12-06,93.7,92.18,44.52,28.15,0.89,4.86,14.20086957,22.9,27.4,19.0,71.0,6.0
2017-12-07,70.22,77.97,47.64,31.84,1.27,4.42,15.95173913,22.8,29.2,18.5,63.0,6.3
2017-12-08,103.18,93.55,66.21,50.17,1.05,4.75,17.7026087,22.6,29.7,15.9,47.0,6.3
2017-12-09,90.59,108.41,62.95,44.62,1.1,4.86,19.45347826,22.6,30.8,16.8,55.0,6.8
2017-12-10,81.28,117.05,57.89,38.79,1.06,4.96,21.20434783,22.4,29.8,17.7,59.0,6.3
2017-12-11,63.5,85.74,38.93,41.9,0.78,4.41,22.95521739,23.4,29.5,17.1,53.0,6.0
2017-12-12,96.11666667,85.6,33.87,33.0,0.57,3.84,24.70608696,23.1,30.0,18.5,67.0,4.8
2017-12-13,128.7333333,93.92,39.02,28.17,0.79,3.72,26.45695652,22.7,28.1,19.6,72.0,4.2
2017-12-14,161.35,73.5,43.69,34.18,0.94,3.71,28.20782609,22.6,28.5,18.4,63.0,6.0
2017-12-15,85.57,55.14,81.78,67.93,0.96,2.87,29.95869565,22.2,29.3,17.1,66.0,6.0
2017-12-16,75.91,63.26,42.57,29.85,0.8,3.2,31.70956522,21.3,28.4,17.5,70.0,6.3
2017-12-17,79.75,69.56,48.64,31.65,0.89,3.56,33.46043478,21.0,26.7,17.0,56.0,6.3
2017-12-18,84.85,81.51,63.33,39.92,0.89,3.66,35.21130435,20.5,26.7,16.0,57.0,6.0
2017-12-19,76.92,72.71,50.27,31.68,0.97,3.71,36.96217391,21.0,26.0,15.3,63.0,6.3
2017-12-20,107.9,70.28,80.93,88.57,1.0,6.38,38.71304348,22.1,28.0,17.2,58.0,6.3
2017-12-21,84.55,62.23,115.11,69.84,0.95,5.76,40.46391304,22.0,28.8,16.0,56.0,6.3
2017-12-22,71.71,58.04,142.35,77.93,0.95,3.32,42.21478261,21.8,28.3,16.8,57.0,6.3
2017-12-23,56.14,60.26,61.7,37.69,0.9,3.55,43.96565217,21.0,28.2,17.4,60.0,5.8
2017-12-24,48.78,38.57,31.49,17.8,0.69,2.29,45.71652174,21.4,27.7,15.0,58.0,6.3
2017-12-25,159.52,45.31,29.62,14.41,0.71,2.78,47.4673913,20.4,28.5,16.6,72.0,6.0
2017-12-26,63.3,60.95,32.19,20.89,0.81,2.72,49.21826087,21.6,28.0,16.2,57.0,6.3
2017-12-27,73.7,87.05,44.73,26.75,0.91,3.4,50.96913043,20.6,29.2,15.5,57.0,5.8
2017-12-28,62.76,83.3,44.56,25.49,0.96,3.38,52.72,19.6,28.1,15.2,58.0,6.3
2017-12-29,32.57,74.48,48.73,27.48,1.13,3.6,17.18,20.6,26.5,14.2,52.0,6.3
2017-12-30,26.74,70.68,42.6,24.2,1.06,3.26,33.48,20.6,27.3,15.3,60.0,6.8
2017-12-31,18.29,59.11,41.94,24.62,1.02,2.95,32.36,21.4,27.85,15.95,56.5,7.25
2018-01-01,38.06,74.54,42.23,22.62,1.04,3.2,25.89,22.2,28.4,16.6,53.0,7.7
2018-01-02,35.12,78.63,41.7,21.46,1.0,3.37,24.78,22.1,28.9,17.8,58.0,5.1
2018-01-03,28.84,69.71,50.19,25.24,1.09,2.8,35.27,22.2,29.0,18.4,62.0,6.0
2018-01-04,24.57,80.05,46.14,25.4,0.96,3.32,46.62,21.6,27.6,17.0,61.0,6.3
2018-01-05,24.31,93.29,52.5,27.28,1.04,5.34,51.89,20.7,28.3,15.5,54.0,6.3
2018-01-06,30.02,94.22,51.77,26.54,0.98,4.28,59.57,20.2,27.2,14.7,52.0,5.8
2018-01-07,40.05,94.39,49.36,24.43,0.99,3.37,62.13,20.4,27.2,15.2,52.0,6.3
2018-01-08,34.88,77.23,46.38,24.61,0.93,4.26,76.84,20.1,27.2,14.8,50.0,6.9
2018-01-09,28.74,76.89,43.41,22.08,0.96,16.6,70.18,21.2,26.6,15.5,59.0,6.3
2018-01-10,31.37,71.0,29.81,20.93,0.89,3.16,54.29,21.8,27.1,18.2,66.0,5.8
2018-01-11,54.32,63.45,45.27,31.34,0.96,4.91,37.03,22.7,28.3,17.3,65.0,6.9
2018-01-12,37.55,76.54,36.51,24.24,1.35,5.74,48.6,23.1,29.4,18.7,64.0,6.3
2018-01-13,36.12,98.69,43.3,28.98,0.93,3.51,47.39,23.4,30.6,17.6,48.0,6.3
2018-01-14,34.43,110.99,44.87,30.63,1.29,3.2,53.1,23.3,31.0,16.3,42.0,5.8
2018-01-15,38.84,100.57,33.96,20.85,0.89,3.35,66.4,22.4,30.7,16.3,49.0,6.3
2018-01-16,41.35,99.23,41.68,26.35,0.92,3.47,59.88,22.9,30.5,17.1,49.0,6.3
2018-01-17,46.76,101.11,37.47,23.5,0.92,3.58,64.8,21.8,29.9,16.8,49.0,5.5
2018-01-18,37.73,103.52,39.62,24.32,1.01,3.66,65.34,21.2,28.6,15.3,41.0,6.3
2018-01-19,55.0,92.99,38.68,23.41,1.21,4.22,71.99,20.7,28.7,14.3,48.0,6.9
2018-01-20,33.34,114.17,38.67,23.33,1.16,4.32,80.04,20.4,28.0,14.2,45.0,6.3
2018-01-21,33.55,104.31,33.77,20.26,1.14,3.97,81.55,20.9,28.5,14.3,46.0,6.3
2018-01-22,39.03,119.95,34.14,19.57,1.14,4.24,77.88,20.4,29.0,14.4,48.0,5.6
2018-01-23,48.08,132.27,35.2,20.22,1.24,4.59,60.85,22.1,28.8,15.3,57.0,6.0
2018-01-24,45.88,125.43,44.92,28.47,1.19,4.59,43.36,22.4,29.7,17.2,59.0,6.3
2018-01-25,39.93,129.02,33.76,20.55,1.06,4.19,56.22,22.7,29.1,17.1,48.0,6.3
2018-01-26,39.28,117.17,32.42,18.82,0.94,4.24,63.78,21.9,29.8,16.2,44.0,6.3
2018-01-27,47.03,143.26,36.38,21.59,1.04,4.21,61.21,21.3,29.0,16.0,53.0,6.9
